# FPR	mN=200GeV-mean	mN=200GeV-std	mN=200GeV-min	mN=200GeV-max	mN=300GeV-mean	mN=300GeV-std	mN=300GeV-min	mN=300GeV-max	mN=500GeV-mean	mN=500GeV-std	mN=500GeV-min	mN=500GeV-max	mN=700GeV-mean	mN=700GeV-std	mN=700GeV-min	mN=700GeV-max	mN=900GeV-mean	mN=900GeV-std	mN=900GeV-min	mN=900GeV-max	mN=1100GeV-mean	mN=1100GeV-std	mN=1100GeV-min	mN=1100GeV-max
6.012024048096192147e-02 7.097853728003256091e-01 7.811129125676760654e-03 6.969789441562405097e-01 7.280032550096633415e-01 7.021055843759536064e-01 7.680590009504710547e-03 6.903672057776421012e-01 7.171193164479706672e-01 6.848336893500153177e-01 7.868111680827663892e-03 6.727698097853728187e-01 7.024717729630759466e-01 6.437493642559251050e-01 8.409163920553361718e-03 6.351337605533516895e-01 6.645305665751195523e-01 5.737056250635743648e-01 9.128167070414918219e-03 5.622012002848133516e-01 5.973959922693520275e-01 4.429152680297019917e-01 8.957753041233322902e-03 4.282372088292137335e-01 4.620079340860543393e-01
6.212424849699398066e-02 7.137219001118909611e-01 8.080130221657492312e-03 6.994202014037229631e-01 7.320720170888007639e-01 7.061845183602888376e-01 8.246429478452175013e-03 6.934187773369951957e-01 7.220018309429355741e-01 6.887498728511849411e-01 8.267381386061038034e-03 6.762282575526396000e-01 7.069474112501271668e-01 6.483877530261417110e-01 8.792322076037735121e-03 6.382870511646830947e-01 6.692096429661275048e-01 5.792289695860033394e-01 9.466344638747388116e-03 5.678974671956057430e-01 6.031939782321228405e-01 4.490590987691994163e-01 8.745715122932179453e-03 4.348489472078120310e-01 4.675007628928898318e-01
6.412825651302604679e-02 7.175058488454888472e-01 8.059692892019793345e-03 7.035906825348388072e-01 7.350218695961753257e-01 7.103651713966024905e-01 8.374042190614100836e-03 6.980978537280032592e-01 7.254602787102024664e-01 6.927576034991353993e-01 8.077062794854842839e-03 6.813142101515613502e-01 7.095921066015664636e-01 6.532397518055130803e-01 8.717981470315992396e-03 6.415420608279930326e-01 6.724646526294374427e-01 5.845793917200691192e-01 9.369533972486807430e-03 5.730851388465059149e-01 6.076696165191740606e-01 4.554572271386430060e-01 8.615933952906239257e-03 4.409520903265181646e-01 4.719764011799409964e-01
6.613226452905811292e-02 7.214947237573510197e-01 7.829326146173612444e-03 7.076594446139762296e-01 7.374631268436577791e-01 7.144339334757401350e-01 8.499136590231069766e-03 7.018614586512054165e-01 7.286135693215338716e-01 6.975689146577155331e-01 7.823220156963980529e-03 6.868070389583968982e-01 7.133557115247686209e-01 6.582036415420607911e-01 8.464443204118723973e-03 6.470348896348285805e-01 6.757196622927473806e-01 5.898484386125522061e-01 8.798057083967497638e-03 5.783745295493846195e-01 6.109246261824839985e-01 4.618655274132844601e-01 7.994392736764225488e-03 4.477672668090733610e-01 4.761468823110568405e-01
6.813627254509017905e-02 7.250737463126843974e-01 7.179203574727400540e-03 7.118299257450920736e-01 7.393957888312481241e-01 7.181466788729530260e-01 7.765561802102156214e-03 7.064388159902349473e-01 7.308513884650594816e-01 7.015868172108634671e-01 7.165101862580997190e-03 6.924015868172108679e-01 7.157969687722510743e-01 6.622724036211982135e-01 7.464099398537545928e-03 6.521208422337503308e-01 6.769402909164886628e-01 5.940799511748551254e-01 8.039177865788565622e-03 5.839690774081985891e-01 6.124504119621605458e-01 4.668090733394364422e-01 7.639744139336278154e-03 4.526497813040382678e-01 4.790967348184315133e-01
7.014028056112224518e-02 7.283796155019836016e-01 7.084649820551488023e-03 7.158986878242294960e-01 7.424473603906011077e-01 7.217271895025938466e-01 7.413923434853527533e-03 7.107110161733292131e-01 7.338012409724341545e-01 7.056250635744074629e-01 7.088292702750230781e-03 6.964703488963482902e-01 7.190519784355610122e-01 6.666768385718644385e-01 7.147665403224198917e-03 6.570033567287152376e-01 6.800935815278201790e-01 5.988404028074458818e-01 7.604177799109426358e-03 5.882412775912928549e-01 6.156037025734920620e-01 4.723120740514697991e-01 7.720610061196383177e-03 4.589563625267012448e-01 4.839792493133964202e-01
7.214428857715429744e-02 7.318278913640525740e-01 7.061559012844691695e-03 7.188485403316040578e-01 7.447868985861051394e-01 7.253382158478282049e-01 7.509429249308516297e-03 7.134574305767470426e-01 7.365476553758518730e-01 7.090631675312786264e-01 6.890337761320316536e-03 7.002339538195504476e-01 7.223069880988709501e-01 6.709388668497608954e-01 6.882554901642991968e-03 6.601566473400467538e-01 6.829417149832163192e-01 6.036211982504323670e-01 7.372743963146440385e-03 5.944461397619774656e-01 6.197741837046079061e-01 4.782117790662191448e-01 7.019948600924284972e-03 4.642457532295798939e-01 4.881497304445122642e-01
7.414829659318636357e-02 7.350930729325603208e-01 6.718395153550283869e-03 7.226121452548062152e-01 7.476350320415013906e-01 7.286847726579188667e-01 7.010509236907542900e-03 7.176279117078628866e-01 7.385820364154206397e-01 7.127962567388871351e-01 6.301534266351559860e-03 7.043027158986878700e-01 7.251551215542670903e-01 6.747228155833588925e-01 6.646513090281747083e-03 6.636150951073136461e-01 6.869087580103753199e-01 6.078832265283289349e-01 6.736451253740282329e-03 6.010578781405757631e-01 6.233343505238531090e-01 4.830942935611839961e-01 6.212536379593563453e-03 4.712643678160919336e-01 4.917098972637575227e-01
7.615230460921842970e-02 7.387142711829925990e-01 7.228503954580320877e-03 7.257654358661377314e-01 7.534330180042722036e-01 7.326009561590887120e-01 7.322189275119225793e-03 7.213915166310650440e-01 7.444817414301698744e-01 7.166310649984740655e-01 6.825462081722616543e-03 7.079646017699114946e-01 7.313599837249517011e-01 6.791882819652120817e-01 7.750491158705230359e-03 6.669718238226020057e-01 6.950462821686501647e-01 6.129691791272505741e-01 7.161982035306201436e-03 6.055335164276268722e-01 6.300478079544298282e-01 4.891770928694944010e-01 6.846598994423191108e-03 4.773675109347980672e-01 5.005594547858813748e-01
7.815631262525049583e-02 7.419082494151154616e-01 7.404846571395653533e-03 7.284101312175770282e-01 7.560777133557115004e-01 7.360594039263554933e-01 7.469503638289826108e-03 7.253585596582239337e-01 7.482453463533720317e-01 7.199674499033670294e-01 6.781541377276181087e-03 7.118299257450920736e-01 7.348184314922184823e-01 6.829925745092054745e-01 7.826981967541743121e-03 6.711423049537178498e-01 6.990133251958091654e-01 6.175465364662801049e-01 7.218104625579330885e-03 6.095005594547858729e-01 6.343200081375242050e-01 4.943342488048011463e-01 6.985188833609190170e-03 4.827586206896551935e-01 5.053402502288678599e-01
8.016032064128256196e-02 7.452141186044145549e-01 7.318231609731465533e-03 7.322754551927576072e-01 7.593327230190214383e-01 7.391923507272912808e-01 7.439133695706496435e-03 7.290204455294476693e-01 7.527209846404231408e-01 7.235988200589968944e-01 6.628469554666623076e-03 7.156952497202726526e-01 7.381751602075068419e-01 6.871528837351235097e-01 7.414921211488721166e-03 6.759231003967043350e-01 7.023700539110975249e-01 6.224392228664428206e-01 6.386595746013647677e-03 6.164174549893195465e-01 6.370664225409419235e-01 5.000610314311870752e-01 7.000525086786503828e-03 4.882514494964906859e-01 5.112399552436170946e-01
8.216432865731462809e-02 7.482860339741633782e-01 6.952733451813842419e-03 7.368528125317872490e-01 7.615705421625470484e-01 7.424982199165903740e-01 7.188630128768411405e-03 7.325806123486928723e-01 7.548570847319703292e-01 7.269555487742853650e-01 6.527328288763420069e-03 7.184416641236903711e-01 7.409215746109246714e-01 6.911402705726782392e-01 6.524339605141873770e-03 6.828399959312378975e-01 7.046078730546231350e-01 6.265385006611737806e-01 5.935417814541632184e-03 6.191638693927372650e-01 6.397111178923812203e-01 5.050249211677346750e-01 7.025753402449996972e-03 4.925236496795850072e-01 5.146984030108839869e-01
8.416833667334668034e-02 7.508900417048114395e-01 6.989512726356921467e-03 7.397009459871833892e-01 7.635032041501372824e-01 7.457328857695045832e-01 7.630291811936444277e-03 7.353270267521107018e-01 7.579086562913233127e-01 7.298647136608684693e-01 6.804548422822289874e-03 7.206794832672159812e-01 7.434645509103855465e-01 6.948021564439020858e-01 6.973981642238768000e-03 6.855864103346557270e-01 7.081680398738683380e-01 6.302919336791780180e-01 6.296433966621758915e-03 6.218085647441765618e-01 6.429661275556911582e-01 5.096836537483471208e-01 7.508223545598742901e-03 4.961855355508086873e-01 5.198860746617841588e-01
