# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
5.811623246492985534e-02 6.345065678096096784e-01 8.711132567159439108e-03 6.262842030312277819e-01 6.579188281965212548e-01 6.977316651408809189e-01 7.503005784056170774e-03 6.867053199064184765e-01 7.136608686807038859e-01 7.164377987997150310e-01 8.810660961215377798e-03 7.037941206387956505e-01 7.375648458956362008e-01 8.085138846505950383e-01 9.624283441597616950e-03 7.910690672362933329e-01 8.276879259485301343e-01 8.250432305970909486e-01 1.501415934108793829e-02 7.942223578476248491e-01 8.498626792798290586e-01
6.012024048096192147e-02 6.393042416844674225e-01 8.725573878870429914e-03 6.320821889939985949e-01 6.623944664835723639e-01 7.021055843759536064e-01 7.680590009504710547e-03 6.903672057776421012e-01 7.171193164479706672e-01 7.202929508696980232e-01 9.054915512473671324e-03 7.071508493540840101e-01 7.413284508188383581e-01 8.112196114332214103e-01 9.478605683633617787e-03 7.937137625877326297e-01 8.297223069880989010e-01 8.282372088292138113e-01 1.455003485003262056e-02 7.983928389787406932e-01 8.521004984233546686e-01
6.212424849699398066e-02 6.443698504729936660e-01 9.210243104709060769e-03 6.355406367612653762e-01 6.677855762384294902e-01 7.061845183602888376e-01 8.246429478452175013e-03 6.934187773369951957e-01 7.220018309429355741e-01 7.241175872240871447e-01 8.935287779734622446e-03 7.111178923812430108e-01 7.453972128979757805e-01 8.142915268029702336e-01 9.376493991625286725e-03 7.964601769911504592e-01 8.319601261316244001e-01 8.311056860950056802e-01 1.440359016428750111e-02 8.005289390702878816e-01 8.538297223069880593e-01
6.412825651302604679e-02 6.492625368731563817e-01 9.428807455987784844e-03 6.397111178923812203e-01 6.725663716814159754e-01 7.103651713966024905e-01 8.374042190614100836e-03 6.980978537280032592e-01 7.254602787102024664e-01 7.281456616824331096e-01 8.950837321964126916e-03 7.161021259281863394e-01 7.487539416132641401e-01 8.175567083714779804e-01 9.015682700913534367e-03 8.005289390702878816e-01 8.345031024310853862e-01 8.342488048011393875e-01 1.411743547653391238e-02 8.054114535652527884e-01 8.566778557623843104e-01
6.613226452905811292e-02 6.541450513681212886e-01 9.287952098480753427e-03 6.447970704913029705e-01 6.758213813447259133e-01 7.144339334757401350e-01 8.499136590231069766e-03 7.018614586512054165e-01 7.286135693215338716e-01 7.319499542264267244e-01 8.942464291195908327e-03 7.187468212796256362e-01 7.515003560166819696e-01 8.203031227748956988e-01 9.162984092756591356e-03 8.027667582138134916e-01 8.367409215746108853e-01 8.372698606448988334e-01 1.378852683194645157e-02 8.086664632285627263e-01 8.578984843861254816e-01
6.813627254509017905e-02 6.585901739395788601e-01 8.760154364708094485e-03 6.501881802461600968e-01 6.786695148001220534e-01 7.181466788729530260e-01 7.765561802102156214e-03 7.064388159902349473e-01 7.308513884650594816e-01 7.351134167429559385e-01 8.410935532238858481e-03 7.224087071508493718e-01 7.534330180042722036e-01 8.230393652731156084e-01 8.756947045440969732e-03 8.059200488251448968e-01 8.380632692503305892e-01 8.396602583663920205e-01 1.354705699116989272e-02 8.115145966839588665e-01 8.598311463737158267e-01
7.014028056112224518e-02 6.632692503305869236e-01 8.189388177264727772e-03 6.541552232733190975e-01 6.816193673074967263e-01 7.217271895025938466e-01 7.413923434853527533e-03 7.107110161733292131e-01 7.338012409724341545e-01 7.388465059505645582e-01 8.272104512297980689e-03 7.258671549181161531e-01 7.559759943037330787e-01 8.258976706337097795e-01 8.262467722970876643e-03 8.103956871121961170e-01 8.399959312379208232e-01 8.425185637269860806e-01 1.326119984119900758e-02 8.153799206591394455e-01 8.618655274132844823e-01
7.214428857715429744e-02 6.676736852812532597e-01 7.910505661071220301e-03 6.594446139761976911e-01 6.844675007628928665e-01 7.253382158478282049e-01 7.509429249308516297e-03 7.134574305767470426e-01 7.365476553758518730e-01 7.423354694334249881e-01 7.962522948385411525e-03 7.298341979452751538e-01 7.581120943952802671e-01 8.287254602787100799e-01 8.265547710803546055e-03 8.129386634116569921e-01 8.421320313294680115e-01 8.453463533719866030e-01 1.319803817462809024e-02 8.177194588546434773e-01 8.636964703488962947e-01
7.414829659318636357e-02 6.717627911707862998e-01 7.748488427078023544e-03 6.638185332112704895e-01 6.889431390499440866e-01 7.286847726579188667e-01 7.010509236907542900e-03 7.176279117078628866e-01 7.385820364154206397e-01 7.455192757603498199e-01 7.489700271443314183e-03 7.332926457125419351e-01 7.601464754348489228e-01 8.309734513274336098e-01 8.040831545630769753e-03 8.161936730749669300e-01 8.441664123690366672e-01 8.479198453870410157e-01 1.296927486247551921e-02 8.202624351541043524e-01 8.656291323364866397e-01
7.615230460921842970e-02 6.758010375343301845e-01 8.079310647515526578e-03 6.673787000305156925e-01 6.937239344929305718e-01 7.326009561590887120e-01 7.322189275119225793e-03 7.213915166310650440e-01 7.444817414301698744e-01 7.490082392432102498e-01 7.938942304901932742e-03 7.368528125317872490e-01 7.661478995015766902e-01 8.336995219204557106e-01 7.922660516063934413e-03 8.197538398942121329e-01 8.467093886684976534e-01 8.506967755060521608e-01 1.281335481616634880e-02 8.241277591292849314e-01 8.693927372596886860e-01
