# bkg-pred	mb=200GeV-pred	mb=300GeV-pred	mb=500GeV-pred	mb=700GeV-pred	mb=900GeV-pred	mb=1100GeV-pred
1.192308589816093445e-02 9.177554845809936523e-01 9.988352656364440918e-01 8.876259922981262207e-01 9.807215929031372070e-01 2.186511605978012085e-01 9.949458241462707520e-01
2.656213939189910889e-01 7.399169206619262695e-01 9.968735575675964355e-01 9.997861981391906738e-01 9.598072767257690430e-01 9.829330444335937500e-01 6.962766647338867188e-01
3.972047269344329834e-01 1.610135659575462341e-02 9.851796627044677734e-01 6.054420471191406250e-01 7.179365158081054688e-01 9.839576482772827148e-01 7.419258356094360352e-01
1.047122702002525330e-01 9.706386923789978027e-01 9.943062663078308105e-01 6.777539253234863281e-01 7.194367647171020508e-01 3.764667809009552002e-01 8.163849711418151855e-01
4.480752721428871155e-02 6.252604722976684570e-01 9.996230602264404297e-01 8.088807463645935059e-01 7.381457686424255371e-01 9.843835830688476562e-01 6.960812211036682129e-01
2.222400009632110596e-01 8.929982185363769531e-01 9.994262456893920898e-01 8.007806539535522461e-01 6.555557250976562500e-01 6.887331008911132812e-01 8.839459419250488281e-01
1.702841818332672119e-01 2.444821894168853760e-01 8.358873724937438965e-01 9.895049333572387695e-01 9.654904603958129883e-01 7.631418704986572266e-01 9.308121204376220703e-01
2.269538342952728271e-01 9.927942156791687012e-01 5.154790878295898438e-01 9.926630258560180664e-01 5.468389987945556641e-01 8.369834423065185547e-01 2.404517084360122681e-01
3.553454205393791199e-02 9.835979342460632324e-01 8.857861161231994629e-01 9.654324650764465332e-01 9.611341953277587891e-01 9.098163843154907227e-01 4.539790153503417969e-01
3.784891664981842041e-01 9.402814507484436035e-01 6.962842345237731934e-01 9.062812328338623047e-01 9.422958493232727051e-01 9.204025864601135254e-01 9.782428145408630371e-01
2.061853706836700439e-01 9.320337176322937012e-01 8.152803778648376465e-01 9.795506000518798828e-01 9.998793601989746094e-01 7.834154367446899414e-01 3.747661411762237549e-01
1.821527332067489624e-01 9.997048974037170410e-01 9.081714749336242676e-01 8.270531892776489258e-01 8.562478423118591309e-01 4.937155842781066895e-01 6.943972110748291016e-01
2.165933698415756226e-01 9.726411700248718262e-01 7.443225979804992676e-01 9.935937523841857910e-01 9.971885085105895996e-01 8.031343221664428711e-01 3.030192553997039795e-01
4.692976474761962891e-01 9.777261614799499512e-01 8.939284086227416992e-01 9.992006421089172363e-01 9.975926280021667480e-01 3.574239015579223633e-01 1.740645021200180054e-01
1.502923816442489624e-01 9.989627599716186523e-01 8.976960778236389160e-01 8.300182223320007324e-01 9.959410429000854492e-01 6.138187646865844727e-01 9.673600792884826660e-01
4.319990798830986023e-02 9.815099239349365234e-01 6.144478321075439453e-01 3.955981135368347168e-01 8.797941803932189941e-01 8.849493265151977539e-01 9.987572431564331055e-01
3.457390964031219482e-01 1.905796676874160767e-01 9.941552877426147461e-01 9.795875549316406250e-01 7.680072784423828125e-01 2.135513424873352051e-01 4.289277791976928711e-01
5.842739939689636230e-01 9.975097179412841797e-01 6.053433418273925781e-01 7.766701579093933105e-01 8.116512298583984375e-01 9.715116024017333984e-01 6.592263579368591309e-01
3.772980570793151855e-01 9.942282438278198242e-01 9.832375049591064453e-01 9.991993308067321777e-01 8.219168782234191895e-01 3.430871963500976562e-01 9.590708613395690918e-01
2.907166481018066406e-01 5.701665282249450684e-01 6.050881147384643555e-01 9.897066354751586914e-01 6.796671152114868164e-01 9.273878335952758789e-01 5.298798084259033203e-01
4.436826109886169434e-01 9.997991919517517090e-01 9.056656956672668457e-01 8.026170134544372559e-01 6.978308558464050293e-01 5.413907170295715332e-01 5.375180244445800781e-01
5.080068856477737427e-02 9.995935559272766113e-01 9.639397859573364258e-01 9.334219694137573242e-01 7.351222038269042969e-01 5.583706498146057129e-01 9.280662536621093750e-01
8.529846668243408203e-01 9.656249284744262695e-01 9.968262910842895508e-01 9.697606563568115234e-01 3.847885429859161377e-01 9.832836389541625977e-01 8.789097070693969727e-01
3.972948491573333740e-01 9.794265031814575195e-01 9.909399747848510742e-01 9.985213875770568848e-01 5.625902414321899414e-01 9.323791861534118652e-01 9.365537762641906738e-01
3.817061781883239746e-01 3.399803340435028076e-01 9.971440434455871582e-01 9.479413628578186035e-01 9.979432225227355957e-01 9.520299434661865234e-01 9.629310965538024902e-01
3.048618137836456299e-01 9.219332337379455566e-01 9.979122281074523926e-01 9.988687634468078613e-01 5.720959901809692383e-01 6.828856468200683594e-01 4.255214035511016846e-01
1.658174842596054077e-01 9.965923428535461426e-01 8.705001473426818848e-01 8.460363745689392090e-01 9.843906760215759277e-01 8.547703623771667480e-01 6.417132616043090820e-01
5.677143931388854980e-01 9.742755293846130371e-01 9.755429625511169434e-01 6.675309538841247559e-01 8.919950723648071289e-01 9.847357273101806641e-01 8.900241851806640625e-01
2.019340395927429199e-01 9.850283861160278320e-01 9.490302205085754395e-01 9.150936007499694824e-01 9.873952865600585938e-01 9.794489145278930664e-01 9.979940652847290039e-01
1.734868884086608887e-01 9.809849262237548828e-01 9.970825314521789551e-01 9.806436300277709961e-01 9.987745881080627441e-01 9.866682291030883789e-01 8.653084039688110352e-01
3.028322383761405945e-02 9.770537018775939941e-01 5.657972097396850586e-01 7.899464368820190430e-01 9.985639452934265137e-01 9.985584616661071777e-01 9.235425591468811035e-01
6.850360631942749023e-01 9.808611273765563965e-01 9.666740298271179199e-01 9.966841340065002441e-01 9.993802309036254883e-01 9.456347823143005371e-01 9.269897341728210449e-01
9.905005097389221191e-01 9.830935001373291016e-01 9.988228678703308105e-01 8.755394220352172852e-01 6.966847181320190430e-01 6.703929901123046875e-01 9.924498796463012695e-01
9.157581627368927002e-02 9.995957016944885254e-01 8.533889055252075195e-01 3.705589175224304199e-01 8.693671822547912598e-01 7.135293483734130859e-01 8.476934432983398438e-01
3.520888462662696838e-02 9.022964835166931152e-01 9.932638406753540039e-01 9.993750452995300293e-01 8.748400211334228516e-01 9.898167848587036133e-01 8.927298784255981445e-01
1.623623222112655640e-01 5.456429719924926758e-01 3.338524997234344482e-01 9.444897174835205078e-01 6.352553367614746094e-01 9.233326315879821777e-01 5.742601752281188965e-01
1.425537914037704468e-01 3.818150758743286133e-01 8.195046186447143555e-01 9.938415288925170898e-01 9.939236044883728027e-01 3.687388896942138672e-01 7.489236593246459961e-01
7.181642651557922363e-01 1.810296922922134399e-01 5.123896002769470215e-01 9.973422884941101074e-01 2.931790947914123535e-01 4.278540313243865967e-01 9.584388732910156250e-01
1.833421140909194946e-01 6.341286301612854004e-01 9.978100657463073730e-01 9.128553867340087891e-01 8.999405503273010254e-01 1.669275611639022827e-01 9.913302659988403320e-01
4.704738259315490723e-01 4.120813608169555664e-01 9.905067682266235352e-01 9.996685981750488281e-01 9.976340532302856445e-01 9.892492294311523438e-01 2.539940178394317627e-01
5.604243278503417969e-01 7.946226000785827637e-01 8.179491758346557617e-01 9.985242486000061035e-01 1.144099012017250061e-01 2.540087103843688965e-01 2.313771992921829224e-01
2.596269845962524414e-01 9.769359230995178223e-01 9.962986111640930176e-01 9.776694178581237793e-01 9.787549376487731934e-01 9.938158988952636719e-01 3.125981092453002930e-01
8.920060843229293823e-02 9.827121496200561523e-01 9.988302588462829590e-01 3.632770478725433350e-01 9.213615655899047852e-01 9.732463955879211426e-01 9.505552053451538086e-01
1.095839813351631165e-01 9.918410778045654297e-01 9.950156807899475098e-01 9.938965439796447754e-01 9.909763932228088379e-01 2.942644357681274414e-01 5.388360619544982910e-01
9.341247379779815674e-02 9.959866404533386230e-01 9.411429762840270996e-01 6.576057076454162598e-01 9.945392012596130371e-01 7.343778610229492188e-01 9.715566635131835938e-01
2.921214401721954346e-01 9.989427924156188965e-01 6.603258848190307617e-01 9.999171495437622070e-01 5.356973409652709961e-01 5.971026420593261719e-01 6.973944306373596191e-01
4.135151803493499756e-01 9.703406095504760742e-01 9.745925068855285645e-01 9.633356332778930664e-01 9.615257382392883301e-01 5.491438508033752441e-01 8.796167969703674316e-01
7.386023998260498047e-01 9.137493371963500977e-01 9.964285492897033691e-01 9.991189837455749512e-01 9.889582395553588867e-01 9.190015196800231934e-01 7.081845402717590332e-01
