# FPR	msq=2.0TeV-mean	msq=2.0TeV-std	msq=2.0TeV-min	msq=2.0TeV-max	msq=2.2TeV-mean	msq=2.2TeV-std	msq=2.2TeV-min	msq=2.2TeV-max	msq=2.3TeV-mean	msq=2.3TeV-std	msq=2.3TeV-min	msq=2.3TeV-max	msq=2.7TeV-mean	msq=2.7TeV-std	msq=2.7TeV-min	msq=2.7TeV-max	msq=3.0TeV-mean	msq=3.0TeV-std	msq=3.0TeV-min	msq=3.0TeV-max
4.008016032064128098e-02 4.262647262647262236e-01 5.965339636644193151e-03 4.196504196504196593e-01 4.350504350504350581e-01 4.195272195272194971e-01 4.021468625316335435e-03 4.142604142604142670e-01 4.266574266574266749e-01 3.925848925848925974e-01 4.303643072173712544e-03 3.875413875413875608e-01 4.015554015554015366e-01 2.438515438515438394e-01 3.079512165389330664e-03 2.369292369292369249e-01 2.487102487102487158e-01 1.474782474782474762e-01 2.902208389419794893e-03 1.438361438361438482e-01 1.547701547701547664e-01
4.208416833667334017e-02 4.329945329945329990e-01 5.627757531493166911e-03 4.275044275044275199e-01 4.419804419804420070e-01 4.255178255178254654e-01 3.835624181800270302e-03 4.207284207284207045e-01 4.323554323554323342e-01 3.976129976129975652e-01 4.156977363530427183e-03 3.924693924693924418e-01 4.054054054054054279e-01 2.480788480788481132e-01 3.268796110197967966e-03 2.407022407022406940e-01 2.532532532532532632e-01 1.515515515515515610e-01 3.033021206392410869e-03 1.474551474551474561e-01 1.589281589281589246e-01
4.408817635270540630e-02 4.405405405405405372e-01 5.061553074760103375e-03 4.348194348194348025e-01 4.483714483714483778e-01 4.318241318241318183e-01 3.259105008053641943e-03 4.273504273504273310e-01 4.374374374374374597e-01 4.035574035574035490e-01 3.892275825221930448e-03 3.980133980133980232e-01 4.099484099484099753e-01 2.530299530299530142e-01 3.453597235442462058e-03 2.459382459382459252e-01 2.579502579502579440e-01 1.561484561484561273e-01 3.313231981766651731e-03 1.523061523061522982e-01 1.637021637021636999e-01
4.609218436873747243e-02 4.470470470470471192e-01 5.386682362332561799e-03 4.403634403634403838e-01 4.552244552244552045e-01 4.375991375991376553e-01 3.595573815997828247e-03 4.325094325094325232e-01 4.435974435974435748e-01 4.087318087318087545e-01 4.619337237800644029e-03 4.036344036344036157e-01 4.157234157234157013e-01 2.574728574728574748e-01 3.477779036954757250e-03 2.507122507122507282e-01 2.621852621852621690e-01 1.602525602525602388e-01 3.177184040779944089e-03 1.562331562331562285e-01 1.667051667051667185e-01
4.809619238476953162e-02 4.530607530607529965e-01 6.294204083438231442e-03 4.444444444444444198e-01 4.642334642334642325e-01 4.427504427504428408e-01 4.180473101539248885e-03 4.372834372834372707e-01 4.496804496804496787e-01 4.134673134673134132e-01 5.077458877347160171e-03 4.067914067914067955e-01 4.231924231924231727e-01 2.616077616077615575e-01 3.297410862453438712e-03 2.549472549472549532e-01 2.678062678062678170e-01 1.638022638022638144e-01 3.291075531242862711e-03 1.593131593131593138e-01 1.696311696311696426e-01
5.010020040080159776e-02 4.586278586278586533e-01 6.174695660005827778e-03 4.509894509894509795e-01 4.696234696234696249e-01 4.473627473627473927e-01 4.400397770313696846e-03 4.414414414414414289e-01 4.549164549164549376e-01 4.174482174482173624e-01 4.880274356440604012e-03 4.103334103334103089e-01 4.261184261184260968e-01 2.655116655116654956e-01 2.934460710609472587e-03 2.594132594132594338e-01 2.700392700392700296e-01 1.672056672056672078e-01 3.164927974461374111e-03 1.641641641641641558e-01 1.732501732501732505e-01
5.210420841683366389e-02 4.655578655578655467e-01 5.708900158791488030e-03 4.576114576114576060e-01 4.744744744744744946e-01 4.528682528682528852e-01 4.528128307355192700e-03 4.464464464464464322e-01 4.593054593054592960e-01 4.227073227073226969e-01 4.818021016623924048e-03 4.158774158774158902e-01 4.305844305844305775e-01 2.701470701470701785e-01 3.524921901281841564e-03 2.641872641872641814e-01 2.759682759682759445e-01 1.716331716331716273e-01 3.563198842719740838e-03 1.683221683221683140e-01 1.796411796411796491e-01
5.410821643286573002e-02 4.705705705705705566e-01 6.185656344693796389e-03 4.613074613074613084e-01 4.787094787094787196e-01 4.573496573496573236e-01 4.940525597298520838e-03 4.499114499114499344e-01 4.650804650804650775e-01 4.273196273196273043e-01 5.111459753731358198e-03 4.196504196504196593e-01 4.342804342804342799e-01 2.740971740971741566e-01 3.781801382149653935e-03 2.676522676522676281e-01 2.809732809732809478e-01 1.754292754292754164e-01 3.943734676175723007e-03 1.720951720951720831e-01 1.851851851851851749e-01
5.611222444889778921e-02 4.762146762146762802e-01 5.814928356114951354e-03 4.665434665434665673e-01 4.835604835604835339e-01 4.619542619542619799e-01 4.912001426658171507e-03 4.542234542234542261e-01 4.691614691614691690e-01 4.319165319165320094e-01 5.188805463435428381e-03 4.253484253484253741e-01 4.399014399014399279e-01 2.780857780857780570e-01 3.301184673057475615e-03 2.739662739662739877e-01 2.847462847462847724e-01 1.792022792022792133e-01 4.051118871757754779e-03 1.754061754061753964e-01 1.896511896511896555e-01
5.811623246492985534e-02 4.811811811811811945e-01 5.684718096969040499e-03 4.719334719334719597e-01 4.897974897974897712e-01 4.660968660968661803e-01 4.924249743508837297e-03 4.593054593054592960e-01 4.750134750134750172e-01 4.358435358435358009e-01 5.110862347177997159e-03 4.294294294294294101e-01 4.429044429044429187e-01 2.814968814968815125e-01 2.798356964648278464e-03 2.785092785092785350e-01 2.872102872102871851e-01 1.828443828443828134e-01 3.653602941975984779e-03 1.784861784861784817e-01 1.919611919611919626e-01
6.012024048096192147e-02 4.867405867405866782e-01 5.891391576440541296e-03 4.778624778624778746e-01 4.951104951104950969e-01 4.709170709170709124e-01 5.002137411420468256e-03 4.651574651574651442e-01 4.805574805574805430e-01 4.404327404327404993e-01 4.949188559643926018e-03 4.344344344344344133e-01 4.473704473704473439e-01 2.855085855085855440e-01 2.732895341469637231e-03 2.812812812812812702e-01 2.906752906752906873e-01 1.866019866019866247e-01 3.760127502772155766e-03 1.828751828751828679e-01 1.956571956571956650e-01
6.212424849699398066e-02 4.920766920766920238e-01 5.924724378794589581e-03 4.846384846384846345e-01 5.004235004235004780e-01 4.754985754985755486e-01 5.074655593656878828e-03 4.697004697004696916e-01 4.851004851004850904e-01 4.449372449372449578e-01 4.724969672987811183e-03 4.396704396704396722e-01 4.509124509124509128e-01 2.896357896357896200e-01 2.866689185420268505e-03 2.852082852082852282e-01 2.953722953722953681e-01 1.905366905366905339e-01 4.134158443083063919e-03 1.864941864941865035e-01 2.002002002002002123e-01
6.412825651302604679e-02 4.972048972048971338e-01 5.537884937077371290e-03 4.887964887964887928e-01 5.045815045815046362e-01 4.799106799106799270e-01 4.460052908220257621e-03 4.740124740124740388e-01 4.880264880264880145e-01 4.490952490952491161e-01 4.226764210486963838e-03 4.438284438284438305e-01 4.548394548394548154e-01 2.934934934934934070e-01 2.448360298021982646e-03 2.892122892122891975e-01 2.975282975282975140e-01 1.945252945252945176e-01 4.368701003854329190e-03 1.898051898051898168e-01 2.038192038192038202e-01
6.613226452905811292e-02 5.013090013090012453e-01 5.677287267097654369e-03 4.934164934164934069e-01 5.094325094325093950e-01 4.834680834680834538e-01 4.518113618168640225e-03 4.776314776314776189e-01 4.907984907984908052e-01 4.525217525217525294e-01 4.171308165264973888e-03 4.474474474474474661e-01 4.583814583814583843e-01 2.967813967813968112e-01 2.665815616868256761e-03 2.930622930622930888e-01 3.015323015323015388e-01 1.979363979363979176e-01 4.285135573672720251e-03 1.924231924231924185e-01 2.066682066682066776e-01
