# bkg-pred	mh=200GeV-pred	mh=300GeV-pred	mh=500GeV-pred	mh=700GeV-pred	mh=900GeV-pred	mh=1100GeV-pred
4.795709252357482910e-02 8.551919460296630859e-01 9.773754477500915527e-01 1.457943022251129150e-01 9.986905455589294434e-01 1.920267641544342041e-01 9.997811913490295410e-01
2.517597377300262451e-02 9.436796307563781738e-01 8.053291589021682739e-02 9.953610301017761230e-01 9.988440275192260742e-01 9.980813264846801758e-01 9.808458685874938965e-01
8.681412935256958008e-01 2.433019727468490601e-01 9.046388864517211914e-01 9.985238909721374512e-01 3.466499447822570801e-01 9.864755272865295410e-01 8.535947203636169434e-01
1.770373084582388401e-03 6.141953468322753906e-01 8.800061792135238647e-02 8.692045807838439941e-01 9.770484566688537598e-01 2.281272411346435547e-01 8.841167092323303223e-01
1.258108913898468018e-01 9.682977199554443359e-01 7.618917226791381836e-01 9.944902658462524414e-01 9.960970282554626465e-01 9.987506866455078125e-01 2.994194030761718750e-01
2.504382282495498657e-02 9.996823072433471680e-01 2.587665021419525146e-01 9.512307047843933105e-01 1.471096128225326538e-01 9.341759681701660156e-01 2.368974387645721436e-01
2.433337736874818802e-03 9.139178395271301270e-01 9.973043203353881836e-01 9.993972778320312500e-01 1.774146556854248047e-01 6.820161938667297363e-01 9.951890707015991211e-01
7.520032674074172974e-02 9.999991655349731445e-01 9.722943902015686035e-01 9.989163875579833984e-01 6.607642769813537598e-01 9.934132695198059082e-01 5.967356562614440918e-01
2.330239489674568176e-02 9.259873032569885254e-01 9.978819489479064941e-01 1.508163660764694214e-01 9.963997602462768555e-01 2.657220065593719482e-01 9.835360050201416016e-01
2.596201300621032715e-01 9.950329065322875977e-01 2.515232190489768982e-02 9.997239708900451660e-01 5.993063002824783325e-02 1.171689033508300781e-01 1.579005122184753418e-01
6.826989818364381790e-03 8.630642294883728027e-01 5.734674260020256042e-02 9.991102814674377441e-01 1.887311041355133057e-01 9.992146492004394531e-01 1.786842346191406250e-01
9.174320697784423828e-01 9.961058497428894043e-01 9.586870074272155762e-01 8.939465880393981934e-01 9.844276309013366699e-01 9.521821737289428711e-01 9.790601730346679688e-01
5.960582755506038666e-03 9.205910563468933105e-01 9.999607801437377930e-01 9.701995253562927246e-01 9.998685121536254883e-01 9.241529107093811035e-01 9.903640151023864746e-01
6.105273589491844177e-02 5.003966689109802246e-01 9.710779190063476562e-01 9.894745349884033203e-01 9.892342090606689453e-01 9.419968128204345703e-01 5.174490213394165039e-01
1.783305555582046509e-01 9.599909186363220215e-01 9.999353885650634766e-01 9.994392991065979004e-01 9.887472987174987793e-01 3.277837857604026794e-02 4.740096628665924072e-01
6.991426348686218262e-01 9.948941469192504883e-01 9.617974758148193359e-01 9.810441136360168457e-01 6.483481824398040771e-02 4.256411492824554443e-01 3.264233469963073730e-01
1.115493178367614746e-01 1.577764302492141724e-01 1.547439396381378174e-01 8.575776815414428711e-01 8.161473274230957031e-01 9.724383354187011719e-01 2.273384481668472290e-01
1.282832622528076172e-01 9.985414743423461914e-01 9.999374151229858398e-01 8.201102614402770996e-01 9.970991611480712891e-01 9.236831665039062500e-01 2.854043543338775635e-01
6.712887436151504517e-02 9.852413535118103027e-01 9.991336464881896973e-01 4.354332387447357178e-01 2.822282612323760986e-01 5.715218782424926758e-01 7.449716329574584961e-01
5.528330057859420776e-02 9.989885687828063965e-01 1.899084299802780151e-01 4.246286153793334961e-01 8.994398713111877441e-01 6.276895403861999512e-01 7.463383674621582031e-02
2.673766342923045158e-03 3.850970864295959473e-01 9.424781799316406250e-01 8.107784986495971680e-01 3.458016216754913330e-01 2.453293204307556152e-01 2.776550352573394775e-01
1.057305932044982910e-01 9.920055270195007324e-01 9.984149932861328125e-01 9.921614527702331543e-01 9.720273613929748535e-01 9.553871750831604004e-01 2.368906736373901367e-01
