# bkg-pred	mN=200GeV-pred	mN=300GeV-pred	mN=500GeV-pred	mN=700GeV-pred	mN=900GeV-pred	mN=1100GeV-pred
3.803509175777435303e-01 6.879569888114929199e-01 8.945302963256835938e-01 9.999847412109375000e-01 8.403185009956359863e-01 4.540684819221496582e-02 8.336659073829650879e-01
1.404796391725540161e-01 5.723404884338378906e-02 8.723293542861938477e-01 6.595894098281860352e-01 6.134092807769775391e-02 1.628470867872238159e-01 9.506137371063232422e-01
9.064020514488220215e-01 8.925690054893493652e-01 4.302431344985961914e-01 4.871358573436737061e-01 9.950070381164550781e-01 2.848074436187744141e-01 9.295950531959533691e-01
7.150573283433914185e-02 2.288034707307815552e-01 4.628537297248840332e-01 9.921718835830688477e-01 9.603415131568908691e-01 8.697400689125061035e-01 6.579545140266418457e-01
2.716116011142730713e-01 8.880388140678405762e-01 4.389340877532958984e-01 5.137751251459121704e-02 2.295737154781818390e-02 9.995309114456176758e-01 7.830870151519775391e-01
1.324921101331710815e-01 9.987853169441223145e-01 9.408860802650451660e-01 2.499788552522659302e-01 9.080505967140197754e-01 5.445690751075744629e-01 4.266666769981384277e-01
8.939763903617858887e-02 9.968701004981994629e-01 9.777809977531433105e-01 9.997870326042175293e-01 9.993315935134887695e-01 2.179432660341262817e-01 9.998481273651123047e-01
2.274877391755580902e-02 9.950060248374938965e-01 1.302240788936614990e-01 9.995154142379760742e-01 1.216755062341690063e-01 1.775801181793212891e-01 9.990051388740539551e-01
1.756123006343841553e-01 6.489710807800292969e-01 2.310335636138916016e-01 5.368614792823791504e-01 4.247235357761383057e-01 5.395323410630226135e-02 9.992892742156982422e-01
4.080473259091377258e-02 9.354401230812072754e-01 9.998885393142700195e-01 1.248027011752128601e-01 2.108172029256820679e-01 5.436783432960510254e-01 2.369431704282760620e-01
7.901634089648723602e-03 5.301935076713562012e-01 9.945937991142272949e-01 2.386815547943115234e-01 8.808095455169677734e-01 8.936028927564620972e-03 9.468769431114196777e-01
2.768264152109622955e-02 9.845476746559143066e-01 1.104910969734191895e-01 8.026898503303527832e-01 9.124661684036254883e-01 5.926871895790100098e-01 9.826091527938842773e-01
2.107527405023574829e-01 9.116654992103576660e-01 1.015842556953430176e-01 9.317396879196166992e-01 7.832226753234863281e-01 9.999713897705078125e-01 5.393838286399841309e-01
1.050474271178245544e-01 3.501029014587402344e-01 1.476368606090545654e-01 9.130042195320129395e-01 5.645770207047462463e-02 2.543017864227294922e-01 3.005647063255310059e-01
1.007957966066896915e-03 3.899751901626586914e-01 3.470862284302711487e-02 9.925501346588134766e-01 5.124264359474182129e-01 1.668076515197753906e-01 8.838263750076293945e-01
