# mN	mSQ	0sq(mean)	1sq(mean)	2sq(mean)	S-comb(mean)	0sq(std)	1sq(std)	2sq(std)	S-comb(std)	0sq(min)	1sq(min)	2sq(min)	S-comb(min)	0sq(max)	1sq(max)	2sq(max)	S-comb(max)
9.000000000000000000e+02 2.000000000000000000e+03 3.975890421922615575e-02 4.917234934567538684e-01 2.342614379279903236e+00 2.815718967849095034e+00 2.601079677983927224e-02 2.955243029222461709e-02 7.408956788136120131e-02 8.693556577063273061e-02 3.921274924478002771e-02 4.750681407104833109e-01 2.283508135211143486e+00 2.751347517349146177e+00 9.569567118069836897e-02 5.273165966575209529e-01 2.430870675466362485e+00 2.929210127242195760e+00
9.000000000000000000e+02 2.200000000000000000e+03 3.557390154838659113e-02 4.101537251341169643e-01 2.164524495023600892e+00 2.502857670266335877e+00 1.961223464992680431e-03 4.930888014447586815e-02 1.165319957645062077e-01 1.128947391908764475e-01 3.454208410016910979e-02 3.860660940277233499e-01 2.063269906884430238e+00 2.387257025441010594e+00 3.811311269579886057e-02 4.416834894262788858e-01 2.293199789368293384e+00 2.641155757707657870e+00
9.000000000000000000e+02 2.300000000000000000e+03 3.016857560218670284e-02 3.394783587018234683e-01 2.032679159965613103e+00 2.306277676104408592e+00 3.103030123687919393e-03 5.769797417116218075e-02 1.297120596899339340e-01 1.255655558917748438e-01 2.961221932302937968e-02 3.171170021060951139e-01 1.952704266981190484e+00 2.211968794117759707e+00 3.117144519576257877e-02 3.887477939443599873e-01 2.146807677955053340e+00 2.425057327558491238e+00
9.000000000000000000e+02 2.700000000000000000e+03 3.063017839117403510e-02 1.628378108532739788e-01 1.137641548068236919e+00 1.269892009924188603e+00 1.176409381144714753e-03 7.405947268295716424e-02 1.395948007054046425e-01 1.402419748700986235e-01 3.000111593462375173e-02 1.457826000419182311e-01 1.069684804769762687e+00 1.192354981153610716e+00 3.169238132714032041e-02 3.522699096465242707e-01 1.272600247182614330e+00 1.404063622307174075e+00
9.000000000000000000e+02 3.000000000000000000e+03 2.957723178978265491e-02 7.459369526587580901e-02 4.847263181041716607e-01 5.392912954325568275e-01 8.985007068833746361e-04 5.117003881265050347e-02 1.281893366147485169e-01 1.324104278283667890e-01 2.902700894156302891e-02 4.791398141135089217e-02 4.359534560960530714e-01 4.868712806282062822e-01 3.048496081704470811e-02 2.172255065812472574e-01 7.337580592697382498e-01 7.746246099745929259e-01
1.100000000000000000e+03 2.000000000000000000e+03 1.899155268379390180e-02 3.296252208966248265e-01 1.516413818772729405e+00 1.851367057435516328e+00 1.412754207477660926e-03 1.165968183478742481e-02 4.864136050140439177e-02 5.675919069026613695e-02 1.836443420717933164e-02 3.160499243702701855e-01 1.461292037796701360e+00 1.782092622039059604e+00 2.034807634922341027e-02 3.471434781624438970e-01 1.562450755634876121e+00 1.907321368771980108e+00
1.100000000000000000e+03 2.200000000000000000e+03 1.717963725401897707e-02 2.518097872761487777e-01 1.385117932362457616e+00 1.630499714851251891e+00 2.057332088548344262e-03 1.202981837568847974e-02 6.017076169856989259e-02 6.693280967209237764e-02 1.661237234661848763e-02 2.396144528601356072e-01 1.340194809969853740e+00 1.579568437039248208e+00 1.781078695477975732e-02 2.725356357532177087e-01 1.464320882584979167e+00 1.727542549426522411e+00
1.100000000000000000e+03 2.300000000000000000e+03 1.378027040063234399e-02 2.309936594859838821e-01 1.309298142628184891e+00 1.526348029399384965e+00 9.864580705776773359e-04 2.668296550907396994e-02 1.095014436973220234e-01 1.144875171032925520e-01 1.345091683911482476e-02 2.192567188871084316e-01 1.261629965266824582e+00 1.474503658715351273e+00 1.452186058078367044e-02 2.454438109716071958e-01 1.375587108669772407e+00 1.597532405340558403e+00
1.100000000000000000e+03 2.700000000000000000e+03 1.056811213666453489e-02 1.216306627067202106e-01 9.806871380467010457e-01 1.080668182171030223e+00 1.529930992866323754e-03 4.189078923323296538e-02 1.359732957987299651e-01 1.371841145536150663e-01 1.039965438827773411e-02 1.093290420988966144e-01 9.048313088427623052e-01 9.953807045770372008e-01 1.094640395682290081e-02 2.075126710436802913e-01 1.087806325755754644e+00 1.185110898823348080e+00
1.100000000000000000e+03 3.000000000000000000e+03 1.078559032745143344e-02 6.470664690188121515e-02 4.565389628453348503e-01 5.024379685737457857e-01 3.675697240507675746e-04 5.157078404894678558e-02 1.209890959070714783e-01 1.244780236348314306e-01 1.063553456237023923e-02 4.296751948087778467e-02 4.179060200247569079e-01 4.570684983545611479e-01 1.118319742969935658e-02 2.137438747842459463e-01 6.848702021642600890e-01 7.230275910113804771e-01
