# bkg-pred	mN=2000GeV-pred	mN=2200GeV-pred	mN=2300GeV-pred	mN=2700GeV-pred	mN=3000GeV-pred
2.530030906200408936e-02 9.869272112846374512e-01 4.281643331050872803e-01 9.991241097450256348e-01 1.372647881507873535e-01 7.940566539764404297e-01
8.620093762874603271e-02 9.935706853866577148e-01 9.771157503128051758e-01 9.226554632186889648e-01 9.973973035812377930e-01 3.657279908657073975e-01
8.219233900308609009e-02 9.999843835830688477e-01 6.866620182991027832e-01 9.218787550926208496e-01 4.875093400478363037e-01 6.699103713035583496e-01
9.915144443511962891e-01 2.616556882858276367e-01 5.436804294586181641e-01 6.628876924514770508e-01 7.952380776405334473e-01 7.684432715177536011e-02
2.309974431991577148e-01 9.125215411186218262e-01 9.840151071548461914e-01 9.541093111038208008e-01 8.800124526023864746e-01 7.216040492057800293e-01
6.427880376577377319e-03 5.766584873199462891e-01 9.748675823211669922e-01 6.445575356483459473e-01 1.405014544725418091e-01 4.150412678718566895e-01
8.144101593643426895e-04 8.494822978973388672e-01 9.999023675918579102e-01 6.906035542488098145e-01 9.214989840984344482e-02 6.929424405097961426e-01
3.470819443464279175e-02 9.969435334205627441e-01 3.945734500885009766e-01 9.999763965606689453e-01 7.531324625015258789e-01 9.691836237907409668e-01
7.035357952117919922e-01 9.844861030578613281e-01 2.301546037197113037e-01 7.076623439788818359e-01 7.356660366058349609e-01 5.605637431144714355e-01
2.010924741625785828e-02 9.999322891235351562e-01 4.337522089481353760e-01 9.999502897262573242e-01 9.051244854927062988e-01 9.811981320381164551e-01
8.343880772590637207e-01 5.379630327224731445e-01 9.747393727302551270e-01 6.480448842048645020e-01 9.794264435768127441e-01 9.306640028953552246e-01
4.928860068321228027e-01 9.992992877960205078e-01 9.047497510910034180e-01 8.548420667648315430e-01 5.895319581031799316e-01 6.413611173629760742e-01
3.746715933084487915e-02 9.579011797904968262e-01 3.700217008590698242e-01 9.779988527297973633e-01 6.410413980484008789e-01 9.602960944175720215e-01
8.625414967536926270e-02 7.030764222145080566e-01 9.997692704200744629e-01 1.286292374134063721e-01 8.662353754043579102e-01 9.151821136474609375e-01
3.063215911388397217e-01 8.812296390533447266e-01 6.253280639648437500e-01 9.998857975006103516e-01 7.981559038162231445e-01 9.989708662033081055e-01
2.954339087009429932e-01 2.256003618240356445e-01 9.793571233749389648e-01 2.616341412067413330e-01 7.660867571830749512e-01 1.723545789718627930e-01
1.575206592679023743e-02 9.812766313552856445e-01 5.059767365455627441e-01 9.990217685699462891e-01 2.029230892658233643e-01 2.214982807636260986e-01
4.257674887776374817e-02 8.930925130844116211e-01 3.424481749534606934e-01 9.317579269409179688e-01 1.595995388925075531e-02 4.019770026206970215e-01
3.985638320446014404e-01 6.138935685157775879e-01 5.699699521064758301e-01 6.402971148490905762e-01 4.288221597671508789e-01 3.863641619682312012e-01
2.173363715410232544e-01 9.964649677276611328e-01 7.891848683357238770e-01 9.672396183013916016e-01 4.107089042663574219e-01 8.332479000091552734e-01
1.542221456766128540e-01 8.663255572319030762e-01 6.006124019622802734e-01 4.460212588310241699e-02 9.895344376564025879e-01 5.727799609303474426e-02
5.947599411010742188e-01 9.713611602783203125e-01 9.219775199890136719e-01 9.534863829612731934e-01 2.467723004519939423e-02 8.614761829376220703e-01
4.728409275412559509e-02 3.080566227436065674e-01 8.644937276840209961e-01 9.340694546699523926e-01 3.549143299460411072e-02 8.273757696151733398e-01
3.974642138928174973e-03 8.403002619743347168e-01 3.161302208900451660e-01 1.369632929563522339e-01 8.722013831138610840e-01 9.974815249443054199e-01
6.986408233642578125e-01 9.918159842491149902e-01 9.727398753166198730e-01 5.282258391380310059e-01 9.548384547233581543e-01 9.799212217330932617e-01
8.817957639694213867e-01 6.348878741264343262e-01 9.999953508377075195e-01 4.294210672378540039e-01 6.345360279083251953e-01 9.385390877723693848e-01
5.238338708877563477e-01 8.258566856384277344e-01 7.081704139709472656e-01 9.998352527618408203e-01 3.133179545402526855e-01 3.367551267147064209e-01
2.643716335296630859e-01 4.575044810771942139e-01 1.744532287120819092e-01 9.920421242713928223e-01 1.613250970840454102e-01 8.496950864791870117e-01
2.193732261657714844e-01 9.986541271209716797e-01 3.592005372047424316e-01 1.003569215536117554e-01 5.427962541580200195e-01 4.796947836875915527e-01
2.007734589278697968e-02 7.475323677062988281e-01 3.702695667743682861e-01 6.808403730392456055e-01 2.950117886066436768e-01 2.235077470541000366e-01
5.250931158661842346e-02 8.073104023933410645e-01 4.331982433795928955e-01 9.999586343765258789e-01 9.919292926788330078e-01 7.477186918258666992e-01
1.420053392648696899e-01 1.403185427188873291e-01 9.951500296592712402e-01 1.701644957065582275e-01 6.676973700523376465e-01 6.788235306739807129e-01
